date,open,face_usd,agent_allowed,new,closing_3d
2026-07-15,40,2291650,1,0,8
2026-07-16,42,2280200,1,4,6
2026-07-18,41,2283150,0,0,6
2026-07-19,43,2283150,0,0,9
2026-07-20,40,2277900,0,0,9
2026-07-21,44,2273160,0,0,9
2026-07-22,41,2171415,0,0,8
2026-07-23,41,2146165,0,0,5
2026-07-24,40,2141515,0,0,6
2026-07-25,37,2139015,0,0,4
2026-07-26,37,2139015,0,0,7
2026-07-27,34,2137760,0,0,7
2026-07-28,34,2123175,0,2,6
2026-07-29,33,2123775,0,0,7
2026-07-30,31,2182975,0,0,6
2026-07-31,29,2850475,0,0,5
2026-08-01,27,2850095,0,0,3
2026-08-02,26,2849975,0,0,3
2026-08-03,29,2852525,0,1,2
2026-08-04,29,2856675,0,0,2
2026-08-05,29,2856925,1,0,6
2026-08-06,32,2858925,1,1,6
2026-08-07,34,2856125,1,0,8
2026-08-08,30,2853675,1,0,5
2026-08-09,31,2854100,1,0,5
2026-08-10,30,3024305,1,0,3
2026-08-11,30,3008355,1,0,5
